日期,区,经停病例数
2021/12/23,河西区,5
2021/12/24,河西区,2
2021/12/25,河西区,4
2021/12/26,河西区,3
2021/12/27,河西区,8
2021/12/28,河西区,7
2021/12/29,河西区,6
2021/12/30,河西区,5
2021/12/31,河西区,10
2022/1/1,河西区,8
2022/1/2,河西区,5
2022/1/3,河西区,7
2022/1/4,河西区,6
2022/1/5,河西区,7
2022/1/6,河西区,3
2022/1/7,河西区,10
2022/1/8,河西区,8
2022/1/9,河西区,2
2022/1/10,河西区,2
2022/1/11,河西区,0
2022/1/12,河西区,1
2022/1/13,河西区,0
2022/1/14,河西区,0
2022/1/15,河西区,0
2022/1/16,河西区,1
2022/1/17,河西区,0
2022/1/18,河西区,0
2022/1/19,河西区,1
2022/1/20,河西区,0
2022/1/21,河西区,0
2022/1/22,河西区,0
2022/1/23,河西区,0
2022/1/24,河西区,3
2022/1/25,河西区,6
2022/1/26,河西区,5
2022/1/27,河西区,1
2022/1/28,河西区,3
2022/1/29,河西区,0
2022/1/30,河西区,0
2022/1/31,河西区,0
2022/2/1,河西区,0
2021/12/23,西青区,1
2021/12/24,西青区,1
2021/12/25,西青区,1
2021/12/26,西青区,4
2021/12/27,西青区,5
2021/12/28,西青区,1
2021/12/29,西青区,5
2021/12/30,西青区,2
2021/12/31,西青区,6
2022/1/1,西青区,3
2022/1/2,西青区,9
2022/1/3,西青区,7
2022/1/4,西青区,5
2022/1/5,西青区,6
2022/1/6,西青区,4
2022/1/7,西青区,15
2022/1/8,西青区,4
2022/1/9,西青区,3
2022/1/10,西青区,5
2022/1/11,西青区,1
2022/1/12,西青区,0
2022/1/13,西青区,0
2022/1/14,西青区,0
2022/1/15,西青区,0
2022/1/16,西青区,0
2022/1/17,西青区,0
2022/1/18,西青区,0
2022/1/19,西青区,0
2022/1/20,西青区,0
2022/1/21,西青区,0
2022/1/22,西青区,0
2022/1/23,西青区,0
2022/1/24,西青区,1
2022/1/25,西青区,0
2022/1/26,西青区,1
2022/1/27,西青区,3
2022/1/28,西青区,6
2022/1/29,西青区,0
2022/1/30,西青区,0
2022/1/31,西青区,0
2022/2/1,西青区,0
2021/12/23,静海区,0
2021/12/24,静海区,1
2021/12/25,静海区,1
2021/12/26,静海区,1
2021/12/27,静海区,4
2021/12/28,静海区,2
2021/12/29,静海区,3
2021/12/30,静海区,4
2021/12/31,静海区,3
2022/1/1,静海区,3
2022/1/2,静海区,4
2022/1/3,静海区,1
2022/1/4,静海区,1
2022/1/5,静海区,0
2022/1/6,静海区,3
2022/1/7,静海区,7
2022/1/8,静海区,26
2022/1/9,静海区,27
2022/1/10,静海区,37
2022/1/11,静海区,41
2022/1/12,静海区,12
2022/1/13,静海区,19
2022/1/14,静海区,33
2022/1/15,静海区,55
2022/1/16,静海区,37
2022/1/17,静海区,4
2022/1/18,静海区,4
2022/1/19,静海区,2
2022/1/20,静海区,0
2022/1/21,静海区,0
2022/1/22,静海区,0
2022/1/23,静海区,0
2022/1/24,静海区,0
2022/1/25,静海区,1
2022/1/26,静海区,5
2022/1/27,静海区,6
2022/1/28,静海区,7
2022/1/29,静海区,14
2022/1/30,静海区,14
2022/1/31,静海区,1
2022/2/1,静海区,5
2021/12/23,南开区,3
2021/12/24,南开区,2
2021/12/25,南开区,4
2021/12/26,南开区,1
2021/12/27,南开区,10
2021/12/28,南开区,2
2021/12/29,南开区,2
2021/12/30,南开区,1
2021/12/31,南开区,3
2022/1/1,南开区,7
2022/1/2,南开区,9
2022/1/3,南开区,6
2022/1/4,南开区,4
2022/1/5,南开区,7
2022/1/6,南开区,3
2022/1/7,南开区,12
2022/1/8,南开区,1
2022/1/9,南开区,2
2022/1/10,南开区,1
2022/1/11,南开区,0
2022/1/12,南开区,1
2022/1/13,南开区,1
2022/1/14,南开区,2
2022/1/15,南开区,0
2022/1/16,南开区,0
2022/1/17,南开区,0
2022/1/18,南开区,0
2022/1/19,南开区,0
2022/1/20,南开区,0
2022/1/21,南开区,0
2022/1/22,南开区,0
2022/1/23,南开区,6
2022/1/24,南开区,7
2022/1/25,南开区,4
2022/1/26,南开区,12
2022/1/27,南开区,4
2022/1/28,南开区,2
2022/1/29,南开区,1
2022/1/30,南开区,0
2022/1/31,南开区,0
2022/2/1,南开区,0
2021/12/23,河东区,1
2021/12/24,河东区,5
2021/12/25,河东区,1
2021/12/26,河东区,5
2021/12/27,河东区,1
2021/12/28,河东区,2
2021/12/29,河东区,0
2021/12/30,河东区,0
2021/12/31,河东区,2
2022/1/1,河东区,11
2022/1/2,河东区,9
2022/1/3,河东区,3
2022/1/4,河东区,5
2022/1/5,河东区,0
2022/1/6,河东区,2
2022/1/7,河东区,2
2022/1/8,河东区,2
2022/1/9,河东区,0
2022/1/10,河东区,0
2022/1/11,河东区,0
2022/1/12,河东区,0
2022/1/13,河东区,0
2022/1/14,河东区,0
2022/1/15,河东区,0
2022/1/16,河东区,0
2022/1/17,河东区,1
2022/1/18,河东区,0
2022/1/19,河东区,0
2022/1/20,河东区,0
2022/1/21,河东区,0
2022/1/22,河东区,0
2022/1/23,河东区,0
2022/1/24,河东区,2
2022/1/25,河东区,2
2022/1/26,河东区,6
2022/1/27,河东区,1
2022/1/28,河东区,6
2022/1/29,河东区,3
2022/1/30,河东区,5
2022/1/31,河东区,4
2022/2/1,河东区,0
2021/12/23,和平区,0
2021/12/24,和平区,0
2021/12/25,和平区,1
2021/12/26,和平区,1
2021/12/27,和平区,1
2021/12/28,和平区,0
2021/12/29,和平区,2
2021/12/30,和平区,0
2021/12/31,和平区,0
2022/1/1,和平区,3
2022/1/2,和平区,1
2022/1/3,和平区,0
2022/1/4,和平区,1
2022/1/5,和平区,0
2022/1/6,和平区,2
2022/1/7,和平区,2
2022/1/8,和平区,1
2022/1/9,和平区,0
2022/1/10,和平区,0
2022/1/11,和平区,0
2022/1/12,和平区,0
2022/1/13,和平区,1
2022/1/14,和平区,0
2022/1/15,和平区,0
2022/1/16,和平区,0
2022/1/17,和平区,0
2022/1/18,和平区,0
2022/1/19,和平区,0
2022/1/20,和平区,0
2022/1/21,和平区,0
2022/1/22,和平区,2
2022/1/23,和平区,0
2022/1/24,和平区,1
2022/1/25,和平区,4
2022/1/26,和平区,12
2022/1/27,和平区,2
2022/1/28,和平区,4
2022/1/29,和平区,0
2022/1/30,和平区,0
2022/1/31,和平区,0
2022/2/1,和平区,0
2021/12/23,河北区,0
2021/12/24,河北区,0
2021/12/25,河北区,0
2021/12/26,河北区,2
2021/12/27,河北区,0
2021/12/28,河北区,0
2021/12/29,河北区,0
2021/12/30,河北区,0
2021/12/31,河北区,1
2022/1/1,河北区,0
2022/1/2,河北区,1
2022/1/3,河北区,0
2022/1/4,河北区,0
2022/1/5,河北区,0
2022/1/6,河北区,1
2022/1/7,河北区,1
2022/1/8,河北区,0
2022/1/9,河北区,0
2022/1/10,河北区,0
2022/1/11,河北区,0
2022/1/12,河北区,0
2022/1/13,河北区,0
2022/1/14,河北区,0
2022/1/15,河北区,0
2022/1/16,河北区,2
2022/1/17,河北区,4
2022/1/18,河北区,2
2022/1/19,河北区,3
2022/1/20,河北区,4
2022/1/21,河北区,5
2022/1/22,河北区,8
2022/1/23,河北区,13
2022/1/24,河北区,20
2022/1/25,河北区,18
2022/1/26,河北区,36
2022/1/27,河北区,14
2022/1/28,河北区,16
2022/1/29,河北区,11
2022/1/30,河北区,2
2022/1/31,河北区,1
2022/2/1,河北区,2
2021/12/23,武清区,0
2021/12/24,武清区,1
2021/12/25,武清区,0
2021/12/26,武清区,0
2021/12/27,武清区,2
2021/12/28,武清区,1
2021/12/29,武清区,4
2021/12/30,武清区,1
2021/12/31,武清区,2
2022/1/1,武清区,3
2022/1/2,武清区,4
2022/1/3,武清区,3
2022/1/4,武清区,1
2022/1/5,武清区,5
2022/1/6,武清区,3
2022/1/7,武清区,1
2022/1/8,武清区,1
2022/1/9,武清区,3
2022/1/10,武清区,1
2022/1/11,武清区,0
2022/1/12,武清区,1
2022/1/13,武清区,1
2022/1/14,武清区,0
2022/1/15,武清区,0
2022/1/16,武清区,0
2022/1/17,武清区,0
2022/1/18,武清区,0
2022/1/19,武清区,0
2022/1/20,武清区,0
2022/1/21,武清区,0
2022/1/22,武清区,0
2022/1/23,武清区,0
2022/1/24,武清区,0
2022/1/25,武清区,0
2022/1/26,武清区,2
2022/1/27,武清区,1
2022/1/28,武清区,1
2022/1/29,武清区,0
2022/1/30,武清区,0
2022/1/31,武清区,0
2022/2/1,武清区,0
2021/12/23,滨海新区,2
2021/12/24,滨海新区,0
2021/12/25,滨海新区,0
2021/12/26,滨海新区,2
2021/12/27,滨海新区,3
2021/12/28,滨海新区,1
2021/12/29,滨海新区,0
2021/12/30,滨海新区,1
2021/12/31,滨海新区,4
2022/1/1,滨海新区,10
2022/1/2,滨海新区,16
2022/1/3,滨海新区,5
2022/1/4,滨海新区,2
2022/1/5,滨海新区,2
2022/1/6,滨海新区,4
2022/1/7,滨海新区,42
2022/1/8,滨海新区,3
2022/1/9,滨海新区,2
2022/1/10,滨海新区,4
2022/1/11,滨海新区,0
2022/1/12,滨海新区,0
2022/1/13,滨海新区,0
2022/1/14,滨海新区,1
2022/1/15,滨海新区,0
2022/1/16,滨海新区,0
2022/1/17,滨海新区,0
2022/1/18,滨海新区,0
2022/1/19,滨海新区,0
2022/1/20,滨海新区,0
2022/1/21,滨海新区,0
2022/1/22,滨海新区,0
2022/1/23,滨海新区,0
2022/1/24,滨海新区,4
2022/1/25,滨海新区,7
2022/1/26,滨海新区,6
2022/1/27,滨海新区,14
2022/1/28,滨海新区,15
2022/1/29,滨海新区,13
2022/1/30,滨海新区,0
2022/1/31,滨海新区,0
2022/2/1,滨海新区,0
2021/12/23,津南区,49
2021/12/24,津南区,75
2021/12/25,津南区,77
2021/12/26,津南区,94
2021/12/27,津南区,157
2021/12/28,津南区,154
2021/12/29,津南区,147
2021/12/30,津南区,159
2021/12/31,津南区,150
2022/1/1,津南区,112
2022/1/2,津南区,126
2022/1/3,津南区,109
2022/1/4,津南区,163
2022/1/5,津南区,177
2022/1/6,津南区,181
2022/1/7,津南区,220
2022/1/8,津南区,82
2022/1/9,津南区,43
2022/1/10,津南区,33
2022/1/11,津南区,27
2022/1/12,津南区,33
2022/1/13,津南区,34
2022/1/14,津南区,20
2022/1/15,津南区,3
2022/1/16,津南区,1
2022/1/17,津南区,1
2022/1/18,津南区,1
2022/1/19,津南区,0
2022/1/20,津南区,0
2022/1/21,津南区,0
2022/1/22,津南区,0
2022/1/23,津南区,0
2022/1/24,津南区,0
2022/1/25,津南区,0
2022/1/26,津南区,0
2022/1/27,津南区,0
2022/1/28,津南区,0
2022/1/29,津南区,0
2022/1/30,津南区,0
2022/1/31,津南区,0
2022/2/1,津南区,0
2021/12/23,北辰区,0
2021/12/24,北辰区,0
2021/12/25,北辰区,0
2021/12/26,北辰区,3
2021/12/27,北辰区,0
2021/12/28,北辰区,0
2021/12/29,北辰区,0
2021/12/30,北辰区,0
2021/12/31,北辰区,4
2022/1/1,北辰区,2
2022/1/2,北辰区,2
2022/1/3,北辰区,5
2022/1/4,北辰区,0
2022/1/5,北辰区,1
2022/1/6,北辰区,0
2022/1/7,北辰区,7
2022/1/8,北辰区,0
2022/1/9,北辰区,0
2022/1/10,北辰区,1
2022/1/11,北辰区,0
2022/1/12,北辰区,0
2022/1/13,北辰区,0
2022/1/14,北辰区,0
2022/1/15,北辰区,0
2022/1/16,北辰区,0
2022/1/17,北辰区,1
2022/1/18,北辰区,0
2022/1/19,北辰区,1
2022/1/20,北辰区,0
2022/1/21,北辰区,0
2022/1/22,北辰区,0
2022/1/23,北辰区,0
2022/1/24,北辰区,0
2022/1/25,北辰区,2
2022/1/26,北辰区,0
2022/1/27,北辰区,1
2022/1/28,北辰区,1
2022/1/29,北辰区,0
2022/1/30,北辰区,0
2022/1/31,北辰区,0
2022/2/1,北辰区,0
2021/12/23,路南区,0
2021/12/24,路南区,0
2021/12/25,路南区,0
2021/12/26,路南区,0
2021/12/27,路南区,0
2021/12/28,路南区,0
2021/12/29,路南区,0
2021/12/30,路南区,0
2021/12/31,路南区,0
2022/1/1,路南区,2
2022/1/2,路南区,0
2022/1/3,路南区,0
2022/1/4,路南区,0
2022/1/5,路南区,0
2022/1/6,路南区,0
2022/1/7,路南区,0
2022/1/8,路南区,0
2022/1/9,路南区,0
2022/1/10,路南区,0
2022/1/11,路南区,0
2022/1/12,路南区,0
2022/1/13,路南区,0
2022/1/14,路南区,0
2022/1/15,路南区,0
2022/1/16,路南区,0
2022/1/17,路南区,0
2022/1/18,路南区,0
2022/1/19,路南区,0
2022/1/20,路南区,0
2022/1/21,路南区,0
2022/1/22,路南区,0
2022/1/23,路南区,0
2022/1/24,路南区,0
2022/1/25,路南区,0
2022/1/26,路南区,0
2022/1/27,路南区,0
2022/1/28,路南区,0
2022/1/29,路南区,0
2022/1/30,路南区,0
2022/1/31,路南区,0
2022/2/1,路南区,0
2021/12/23,宁河区,0
2021/12/24,宁河区,0
2021/12/25,宁河区,0
2021/12/26,宁河区,0
2021/12/27,宁河区,0
2021/12/28,宁河区,0
2021/12/29,宁河区,0
2021/12/30,宁河区,0
2021/12/31,宁河区,0
2022/1/1,宁河区,0
2022/1/2,宁河区,0
2022/1/3,宁河区,0
2022/1/4,宁河区,0
2022/1/5,宁河区,2
2022/1/6,宁河区,6
2022/1/7,宁河区,0
2022/1/8,宁河区,1
2022/1/9,宁河区,1
2022/1/10,宁河区,0
2022/1/11,宁河区,0
2022/1/12,宁河区,0
2022/1/13,宁河区,0
2022/1/14,宁河区,0
2022/1/15,宁河区,0
2022/1/16,宁河区,0
2022/1/17,宁河区,0
2022/1/18,宁河区,0
2022/1/19,宁河区,0
2022/1/20,宁河区,0
2022/1/21,宁河区,0
2022/1/22,宁河区,0
2022/1/23,宁河区,0
2022/1/24,宁河区,0
2022/1/25,宁河区,0
2022/1/26,宁河区,0
2022/1/27,宁河区,0
2022/1/28,宁河区,0
2022/1/29,宁河区,0
2022/1/30,宁河区,0
2022/1/31,宁河区,0
2022/2/1,宁河区,0
2021/12/23,东丽区,2
2021/12/24,东丽区,1
2021/12/25,东丽区,1
2021/12/26,东丽区,3
2021/12/27,东丽区,1
2021/12/28,东丽区,1
2021/12/29,东丽区,3
2021/12/30,东丽区,2
2021/12/31,东丽区,1
2022/1/1,东丽区,1
2022/1/2,东丽区,5
2022/1/3,东丽区,4
2022/1/4,东丽区,1
2022/1/5,东丽区,4
2022/1/6,东丽区,7
2022/1/7,东丽区,7
2022/1/8,东丽区,1
2022/1/9,东丽区,0
2022/1/10,东丽区,0
2022/1/11,东丽区,0
2022/1/12,东丽区,1
2022/1/13,东丽区,2
2022/1/14,东丽区,2
2022/1/15,东丽区,1
2022/1/16,东丽区,0
2022/1/17,东丽区,0
2022/1/18,东丽区,0
2022/1/19,东丽区,0
2022/1/20,东丽区,0
2022/1/21,东丽区,0
2022/1/22,东丽区,0
2022/1/23,东丽区,0
2022/1/24,东丽区,1
2022/1/25,东丽区,1
2022/1/26,东丽区,1
2022/1/27,东丽区,1
2022/1/28,东丽区,0
2022/1/29,东丽区,0
2022/1/30,东丽区,0
2022/1/31,东丽区,1
2022/2/1,东丽区,0
2021/12/23,蓟州区,0
2021/12/24,蓟州区,0
2021/12/25,蓟州区,0
2021/12/26,蓟州区,0
2021/12/27,蓟州区,0
2021/12/28,蓟州区,0
2021/12/29,蓟州区,0
2021/12/30,蓟州区,1
2021/12/31,蓟州区,3
2022/1/1,蓟州区,2
2022/1/2,蓟州区,0
2022/1/3,蓟州区,0
2022/1/4,蓟州区,0
2022/1/5,蓟州区,2
2022/1/6,蓟州区,0
2022/1/7,蓟州区,2
2022/1/8,蓟州区,0
2022/1/9,蓟州区,0
2022/1/10,蓟州区,0
2022/1/11,蓟州区,0
2022/1/12,蓟州区,0
2022/1/13,蓟州区,0
2022/1/14,蓟州区,0
2022/1/15,蓟州区,0
2022/1/16,蓟州区,0
2022/1/17,蓟州区,0
2022/1/18,蓟州区,0
2022/1/19,蓟州区,0
2022/1/20,蓟州区,0
2022/1/21,蓟州区,0
2022/1/22,蓟州区,0
2022/1/23,蓟州区,0
2022/1/24,蓟州区,0
2022/1/25,蓟州区,0
2022/1/26,蓟州区,0
2022/1/27,蓟州区,0
2022/1/28,蓟州区,1
2022/1/29,蓟州区,0
2022/1/30,蓟州区,0
2022/1/31,蓟州区,0
2022/2/1,蓟州区,0
2021/12/23,宝坻区,1
2021/12/24,宝坻区,2
2021/12/25,宝坻区,1
2021/12/26,宝坻区,0
2021/12/27,宝坻区,1
2021/12/28,宝坻区,1
2021/12/29,宝坻区,1
2021/12/30,宝坻区,2
2021/12/31,宝坻区,1
2022/1/1,宝坻区,0
2022/1/2,宝坻区,0
2022/1/3,宝坻区,0
2022/1/4,宝坻区,1
2022/1/5,宝坻区,0
2022/1/6,宝坻区,1
2022/1/7,宝坻区,3
2022/1/8,宝坻区,1
2022/1/9,宝坻区,0
2022/1/10,宝坻区,0
2022/1/11,宝坻区,0
2022/1/12,宝坻区,0
2022/1/13,宝坻区,0
2022/1/14,宝坻区,0
2022/1/15,宝坻区,0
2022/1/16,宝坻区,0
2022/1/17,宝坻区,0
2022/1/18,宝坻区,0
2022/1/19,宝坻区,0
2022/1/20,宝坻区,0
2022/1/21,宝坻区,0
2022/1/22,宝坻区,0
2022/1/23,宝坻区,0
2022/1/24,宝坻区,0
2022/1/25,宝坻区,0
2022/1/26,宝坻区,0
2022/1/27,宝坻区,0
2022/1/28,宝坻区,0
2022/1/29,宝坻区,0
2022/1/30,宝坻区,0
2022/1/31,宝坻区,0
2022/2/1,宝坻区,0
2021/12/23,红桥区,0
2021/12/24,红桥区,0
2021/12/25,红桥区,0
2021/12/26,红桥区,0
2021/12/27,红桥区,1
2021/12/28,红桥区,0
2021/12/29,红桥区,0
2021/12/30,红桥区,0
2021/12/31,红桥区,1
2022/1/1,红桥区,0
2022/1/2,红桥区,0
2022/1/3,红桥区,1
2022/1/4,红桥区,0
2022/1/5,红桥区,0
2022/1/6,红桥区,0
2022/1/7,红桥区,2
2022/1/8,红桥区,0
2022/1/9,红桥区,0
2022/1/10,红桥区,1
2022/1/11,红桥区,0
2022/1/12,红桥区,0
2022/1/13,红桥区,0
2022/1/14,红桥区,0
2022/1/15,红桥区,0
2022/1/16,红桥区,0
2022/1/17,红桥区,0
2022/1/18,红桥区,0
2022/1/19,红桥区,0
2022/1/20,红桥区,0
2022/1/21,红桥区,0
2022/1/22,红桥区,0
2022/1/23,红桥区,0
2022/1/24,红桥区,0
2022/1/25,红桥区,0
2022/1/26,红桥区,7
2022/1/27,红桥区,2
2022/1/28,红桥区,0
2022/1/29,红桥区,1
2022/1/30,红桥区,0
2022/1/31,红桥区,0
2022/2/1,红桥区,0
